Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,52.7%,,53.1%,,36.1%,,18.5%,,12.2%,,30.7%,,7.8%,,25.4%,,33.1%
Atlanta,19,52.3%,3,54.5%,3,39.6%,24,16.2%,29,6.9%,28,23.1%,4,10.2%,9,27.1%,4,37.3%
Boston,7,53.7%,25,52.4%,27,31.5%,17,18.1%,7,14.5%,13,32.6%,10,8.0%,6,27.9%,9,35.9%
Brooklyn,17,52.4%,6,53.8%,13,37.4%,18,18.1%,28,7.5%,26,25.6%,15,7.5%,4,29.5%,5,37.0%
Charlotte,22,51.7%,12,53.3%,14,36.3%,19,17.9%,19,10.8%,21,28.8%,16,7.4%,7,27.5%,10,34.9%
Chicago,28,50.6%,22,52.6%,11,37.5%,6,21.1%,11,13.7%,5,34.8%,24,6.5%,27,21.2%,27,27.7%
Cleveland,29,50.5%,28,52.1%,25,33.5%,4,21.6%,8,14.1%,3,35.7%,18,7.1%,20,23.8%,21,30.9%
Dallas,18,52.3%,14,53.2%,24,33.6%,15,18.4%,25,9.3%,24,27.7%,8,8.1%,2,30.6%,2,38.8%
Denver,12,53.1%,18,52.7%,21,35.3%,2,22.4%,21,10.0%,14,32.3%,20,6.9%,13,25.5%,15,32.4%
Detroit,26,51.4%,10,53.4%,22,35.2%,14,18.7%,23,9.5%,22,28.2%,5,10.1%,10,26.5%,6,36.6%
Golden State,1,57.1%,27,52.2%,29,30.5%,25,16.0%,3,17.4%,11,33.3%,14,7.7%,5,28.5%,7,36.2%
Houston,4,54.4%,2,54.6%,26,33.3%,29,14.1%,30,4.0%,30,18.1%,1,12.4%,1,36.1%,1,48.6%
Indiana,14,53.1%,20,52.7%,9,38.2%,20,17.0%,2,18.0%,4,34.9%,21,6.8%,30,20.0%,29,26.8%
LA Clippers,10,53.2%,17,52.8%,8,38.6%,9,20.6%,10,13.7%,8,34.4%,27,6.2%,29,20.8%,28,27.0%
LA Lakers,15,53.1%,4,54.3%,1,42.7%,26,15.4%,20,10.3%,25,25.8%,17,7.3%,19,24.3%,18,31.6%
Memphis,27,51.1%,23,52.5%,23,34.6%,3,22.1%,17,11.9%,9,34.0%,11,7.9%,21,23.5%,19,31.5%
Miami,24,51.6%,15,53.2%,16,35.9%,11,20.5%,22,9.6%,17,30.2%,6,9.5%,18,24.4%,13,33.9%
Milwaukee,2,55.4%,1,54.7%,2,40.6%,30,13.4%,27,7.7%,29,21.0%,12,7.9%,3,30.5%,3,38.4%
Minnesota,25,51.5%,26,52.3%,18,35.7%,8,20.8%,6,15.1%,2,35.9%,22,6.8%,26,21.6%,26,28.4%
New Orleans,11,53.2%,11,53.3%,5,39.3%,5,21.4%,24,9.4%,16,30.8%,23,6.8%,23,23.2%,24,29.9%
New York,30,49.0%,16,52.9%,12,37.4%,22,16.7%,5,15.3%,15,32.0%,28,5.8%,16,24.9%,22,30.6%
Oklahoma City,21,51.8%,7,53.6%,7,39.1%,21,16.8%,16,12.2%,20,29.0%,7,8.8%,24,23.1%,16,32.0%
Orlando,20,52.3%,29,52.1%,28,31.2%,16,18.3%,4,16.4%,6,34.6%,19,7.0%,8,27.2%,12,34.2%
Philadelphia,8,53.5%,21,52.7%,17,35.9%,12,19.4%,12,13.7%,12,33.0%,26,6.2%,15,24.9%,20,31.1%
Phoenix,23,51.7%,19,52.7%,15,36.0%,10,20.6%,15,12.8%,10,33.4%,13,7.8%,25,22.8%,23,30.6%
Portland,13,53.1%,9,53.4%,6,39.2%,27,15.2%,9,14.0%,19,29.2%,30,5.3%,11,26.4%,17,31.6%
Sacramento,16,52.6%,24,52.5%,19,35.7%,7,21.0%,13,13.7%,7,34.6%,25,6.4%,22,23.3%,25,29.7%
San Antonio,6,53.8%,30,50.0%,30,26.5%,1,24.9%,1,22.0%,1,46.9%,29,5.5%,28,21.1%,30,26.6%
Toronto,3,54.6%,13,53.2%,20,35.5%,13,18.7%,18,11.0%,18,29.8%,3,10.2%,17,24.5%,11,34.8%
Utah,5,54.3%,5,54.3%,4,39.3%,23,16.4%,26,8.3%,27,24.7%,2,11.1%,14,24.9%,8,36.0%
Washington,9,53.4%,8,53.6%,10,38.1%,28,14.9%,14,13.1%,23,28.0%,9,8.1%,12,25.8%,14,33.9%
