Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,52.7%,,53.1%,,62.9%,,40.3%,,40.5%,,40.4%,,38.3%,,35.3%,,36.0%
Atlanta,19,52.3%,3,54.5%,24,60.7%,27,37.2%,27,37.1%,30,37.2%,10,39.1%,22,34.4%,18,35.7%
Boston,7,53.7%,25,52.4%,10,64.3%,5,42.8%,4,43.2%,4,42.9%,29,34.0%,5,37.6%,7,36.8%
Brooklyn,17,52.4%,6,53.8%,22,61.2%,26,37.4%,19,39.7%,25,38.1%,14,38.3%,12,35.4%,12,36.0%
Charlotte,22,51.7%,12,53.3%,29,59.0%,16,39.8%,5,42.8%,9,40.9%,6,40.8%,20,34.5%,15,35.9%
Chicago,28,50.6%,22,52.6%,27,59.5%,12,41.0%,25,38.0%,16,39.8%,8,39.7%,23,34.3%,20,35.6%
Cleveland,29,50.5%,28,52.1%,28,59.4%,18,39.4%,13,40.4%,17,39.8%,24,36.2%,9,36.0%,13,36.0%
Dallas,18,52.3%,14,53.2%,7,64.8%,19,39.3%,26,37.7%,20,38.7%,15,38.1%,27,34.0%,24,34.9%
Denver,12,53.1%,18,52.7%,15,63.2%,2,43.9%,12,40.5%,6,42.9%,9,39.6%,18,34.6%,19,35.6%
Detroit,26,51.4%,10,53.4%,23,61.0%,28,36.9%,7,41.9%,21,38.7%,11,38.6%,26,34.1%,21,35.4%
Golden State,1,57.1%,27,52.2%,1,68.2%,3,43.8%,1,47.8%,1,45.9%,2,42.8%,3,38.2%,3,39.2%
Houston,4,54.4%,2,54.6%,12,63.9%,17,39.6%,9,41.3%,15,40.0%,20,37.3%,13,35.4%,14,35.9%
Indiana,14,53.1%,20,52.7%,20,62.1%,7,42.2%,11,40.5%,8,41.3%,3,42.8%,8,36.2%,5,37.9%
LA Clippers,10,53.2%,17,52.8%,26,60.4%,10,41.2%,17,40.0%,11,40.8%,5,41.9%,1,38.9%,2,39.6%
LA Lakers,15,53.1%,4,54.3%,8,64.7%,25,37.5%,16,40.1%,24,38.6%,28,34.3%,29,33.6%,29,33.8%
Memphis,27,51.1%,23,52.5%,21,61.8%,13,40.8%,15,40.1%,13,40.5%,23,36.2%,25,34.1%,26,34.7%
Miami,24,51.6%,15,53.2%,18,62.6%,21,38.6%,30,35.8%,27,37.7%,18,37.6%,21,34.4%,23,35.3%
Milwaukee,2,55.4%,1,54.7%,3,66.7%,22,38.6%,23,38.8%,22,38.6%,17,37.8%,14,35.2%,16,35.7%
Minnesota,25,51.5%,26,52.3%,16,63.0%,20,39.2%,14,40.2%,19,39.7%,13,38.4%,15,34.8%,17,35.7%
New Orleans,11,53.2%,11,53.3%,9,64.7%,6,42.6%,29,36.8%,10,40.8%,26,35.6%,16,34.6%,25,34.8%
New York,30,49.0%,16,52.9%,30,57.6%,29,36.6%,24,38.7%,28,37.6%,27,34.9%,24,34.2%,28,34.3%
Oklahoma City,21,51.8%,7,53.6%,19,62.2%,24,37.9%,28,36.8%,29,37.5%,19,37.5%,19,34.5%,22,35.4%
Orlando,20,52.3%,29,52.1%,13,63.8%,11,41.2%,18,39.9%,12,40.6%,12,38.6%,11,35.7%,10,36.3%
Philadelphia,8,53.5%,21,52.7%,4,65.8%,14,40.7%,21,39.1%,14,40.0%,21,37.1%,6,36.4%,8,36.6%
Phoenix,23,51.7%,19,52.7%,14,63.2%,8,42.2%,10,40.9%,7,41.7%,30,33.3%,30,33.4%,30,33.4%
Portland,13,53.1%,9,53.4%,25,60.5%,9,41.6%,2,44.3%,5,42.9%,25,35.6%,7,36.2%,11,36.1%
Sacramento,16,52.6%,24,52.5%,17,62.9%,23,38.0%,20,39.5%,23,38.6%,7,40.4%,4,38.0%,4,38.5%
San Antonio,6,53.8%,30,50.0%,5,65.6%,1,45.6%,6,42.7%,2,44.2%,1,46.5%,2,38.4%,1,40.1%
Toronto,3,54.6%,13,53.2%,11,64.1%,4,43.3%,3,43.9%,3,43.5%,4,42.7%,17,34.6%,6,37.0%
Utah,5,54.3%,5,54.3%,6,65.1%,30,36.1%,8,41.4%,26,37.9%,16,38.1%,10,35.7%,9,36.4%
Washington,9,53.4%,8,53.6%,2,66.9%,15,40.3%,22,39.1%,18,39.7%,22,36.6%,28,33.7%,27,34.4%
