Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,54.1%,,54.5%,,64.1%,,42.8%,,41.7%,,42.4%,,39.3%,,36.5%,,37.2%
Atlanta,16,54.2%,18,54.2%,18,63.4%,13,43.1%,5,44.2%,14,43.4%,14,39.4%,9,36.9%,14,37.5%
Boston,13,54.5%,21,54.0%,9,66.5%,19,41.6%,17,41.2%,17,41.5%,15,39.1%,7,37.5%,10,37.9%
Brooklyn,1,58.2%,13,54.8%,11,65.6%,2,47.4%,2,46.2%,2,47.1%,9,41.2%,2,39.8%,2,40.1%
Charlotte,19,53.7%,5,55.5%,27,60.4%,22,40.9%,21,39.8%,22,40.6%,8,41.5%,14,36.4%,11,37.6%
Chicago,9,55.1%,14,54.7%,14,64.9%,11,44.1%,13,42.3%,13,43.5%,6,42.4%,17,36.0%,12,37.6%
Cleveland,29,51.2%,8,55.1%,28,60.3%,18,41.7%,27,37.3%,19,40.7%,18,37.7%,30,33.1%,30,34.2%
Dallas,7,55.6%,20,54.0%,1,68.8%,5,45.7%,11,43.0%,5,44.7%,19,37.6%,12,36.6%,17,36.9%
Denver,6,56.3%,22,53.9%,5,67.4%,3,46.3%,8,43.8%,3,45.4%,4,43.0%,11,36.8%,8,38.3%
Detroit,27,51.9%,9,55.1%,20,62.9%,29,37.5%,23,38.9%,28,37.9%,30,35.0%,20,35.3%,25,35.2%
Golden State,10,55.0%,15,54.7%,10,66.5%,17,42.4%,26,37.6%,20,40.6%,13,39.8%,10,36.9%,13,37.6%
Houston,23,52.7%,1,56.1%,15,64.2%,30,37.0%,30,32.1%,30,35.3%,28,35.1%,28,34.4%,29,34.6%
Indiana,14,54.4%,4,55.5%,23,62.4%,14,43.1%,12,42.4%,15,42.9%,10,41.0%,23,35.2%,18,36.5%
LA Clippers,2,57.0%,23,53.8%,12,65.6%,12,43.9%,9,43.6%,9,43.8%,1,46.5%,1,39.8%,1,41.8%
LA Lakers,18,54.0%,10,54.9%,7,67.0%,16,42.7%,29,36.2%,24,40.2%,25,36.5%,18,35.5%,20,35.7%
Memphis,22,52.8%,25,53.6%,16,63.7%,10,44.2%,17,41.2%,11,43.6%,21,37.4%,26,35.0%,21,35.7%
Miami,11,54.7%,11,54.9%,2,68.1%,21,41.2%,19,40.8%,18,41.0%,27,35.2%,13,36.6%,19,36.2%
Milwaukee,5,56.7%,17,54.4%,3,67.8%,9,44.3%,10,43.2%,8,43.8%,12,39.9%,5,38.5%,6,38.8%
Minnesota,25,52.3%,3,55.6%,24,61.5%,27,37.9%,28,37.0%,29,37.6%,23,37.0%,25,35.2%,23,35.6%
New Orleans,17,54.0%,2,55.7%,17,63.6%,20,41.4%,6,44.0%,16,42.4%,29,35.1%,24,35.2%,26,35.2%
New York,24,52.6%,24,53.8%,29,59.8%,24,39.5%,16,41.4%,25,40.2%,5,42.5%,6,38.2%,4,39.5%
Oklahoma City,28,51.4%,6,55.2%,30,59.5%,23,40.9%,25,38.6%,23,40.3%,17,38.0%,29,34.0%,28,34.8%
Orlando,30,49.5%,30,52.8%,26,60.5%,25,39.3%,20,40.3%,26,39.7%,26,36.1%,27,34.8%,27,35.0%
Philadelphia,15,54.3%,26,53.6%,19,63.2%,8,44.6%,3,45.8%,4,45.1%,7,42.3%,15,36.3%,9,38.0%
Phoenix,4,56.8%,27,53.2%,6,67.4%,1,50.9%,1,46.6%,1,49.1%,2,43.7%,16,36.1%,7,38.3%
Portland,12,54.6%,16,54.6%,25,61.1%,28,37.7%,7,44.0%,21,40.6%,16,38.5%,3,39.4%,5,39.2%
Sacramento,8,55.3%,19,54.1%,4,67.4%,6,45.1%,15,41.5%,7,44.1%,3,43.0%,19,35.3%,16,37.1%
San Antonio,26,52.1%,28,53.1%,21,62.7%,15,42.7%,4,44.6%,12,43.5%,22,37.0%,21,35.3%,22,35.7%
Toronto,21,53.2%,7,55.1%,22,62.4%,26,38.5%,22,39.0%,27,38.7%,20,37.6%,8,37.0%,15,37.2%
Utah,3,56.9%,12,54.9%,13,65.5%,7,44.9%,24,38.8%,10,43.7%,11,40.4%,4,39.2%,3,39.6%
Washington,20,53.4%,29,53.0%,8,66.7%,4,46.2%,14,42.1%,6,44.7%,24,36.5%,22,35.2%,24,35.6%
