Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,51.7%,,52.0%,,61.0%,,41.2%,,40.7%,,40.9%,,38.7%,,35.6%,,36.4%
Atlanta,18,50.8%,10,52.5%,24,59.8%,30,36.3%,9,42.3%,23,39.8%,15,38.7%,24,33.8%,23,35.0%
Boston,9,52.8%,5,53.0%,16,60.8%,14,41.5%,12,41.1%,12,41.3%,9,40.5%,16,35.3%,14,36.5%
Brooklyn,17,50.8%,2,53.2%,27,58.8%,18,41.2%,28,37.7%,20,40.0%,20,37.8%,25,33.3%,26,34.3%
Charlotte,21,50.4%,19,51.7%,25,59.6%,20,40.9%,20,38.9%,22,39.8%,24,37.5%,15,35.5%,18,35.8%
Chicago,30,49.0%,26,51.0%,26,59.3%,10,42.0%,23,38.4%,19,40.0%,12,40.1%,30,32.0%,24,34.4%
Cleveland,2,55.1%,7,52.9%,2,65.2%,28,38.2%,3,44.0%,14,41.2%,7,40.8%,6,37.5%,4,38.5%
Dallas,20,50.6%,28,50.6%,11,61.5%,1,44.3%,16,40.4%,10,42.0%,26,36.5%,14,35.6%,17,35.8%
Denver,5,53.2%,4,53.1%,20,60.4%,7,42.5%,17,39.6%,13,41.2%,18,38.3%,8,37.4%,11,37.5%
Detroit,26,49.6%,30,50.3%,12,61.5%,11,41.8%,8,42.4%,8,42.1%,22,37.8%,28,32.8%,27,33.9%
Golden State,1,57.2%,9,52.7%,1,67.2%,5,42.7%,1,45.4%,1,44.2%,5,41.2%,2,38.9%,2,39.4%
Houston,3,54.6%,1,54.4%,3,64.4%,29,37.0%,29,37.7%,29,37.3%,17,38.5%,17,35.2%,16,35.9%
Indiana,11,52.2%,27,50.7%,14,61.1%,2,44.2%,10,41.6%,5,42.8%,4,41.3%,5,38.0%,3,38.9%
LA Clippers,4,53.9%,16,51.9%,4,63.7%,21,40.8%,4,43.8%,6,42.7%,10,40.3%,7,37.4%,6,38.1%
LA Lakers,22,50.4%,14,52.0%,19,60.4%,26,39.0%,18,39.2%,28,39.1%,23,37.6%,20,34.6%,22,35.4%
Memphis,27,49.4%,15,52.0%,30,56.5%,22,40.4%,25,38.3%,26,39.4%,8,40.8%,19,34.7%,15,36.0%
Miami,15,51.6%,13,52.1%,15,61.0%,19,41.2%,21,38.6%,21,40.0%,11,40.1%,13,35.6%,12,37.1%
Milwaukee,7,53.1%,3,53.2%,7,62.4%,25,39.4%,19,39.0%,27,39.2%,13,39.5%,11,36.9%,9,37.7%
Minnesota,16,51.4%,22,51.5%,6,62.5%,9,42.1%,14,40.6%,11,41.3%,14,39.0%,21,34.5%,19,35.8%
New Orleans,19,50.6%,18,51.7%,18,60.4%,6,42.6%,24,38.3%,16,40.5%,21,37.8%,18,34.9%,20,35.6%
New York,25,49.8%,23,51.3%,29,57.2%,16,41.4%,7,42.5%,9,42.0%,2,42.6%,26,33.1%,21,35.4%
Oklahoma City,23,50.3%,6,52.9%,23,60.2%,23,40.2%,22,38.6%,25,39.4%,27,35.5%,29,32.3%,30,33.1%
Orlando,29,49.3%,24,51.2%,22,60.2%,17,41.2%,15,40.4%,15,40.8%,30,30.2%,22,34.3%,29,33.5%
Philadelphia,24,50.2%,8,52.8%,17,60.6%,27,38.5%,30,35.7%,30,37.2%,6,40.9%,27,33.0%,25,34.4%
Phoenix,28,49.4%,21,51.5%,21,60.3%,15,41.4%,27,38.0%,24,39.6%,29,32.4%,23,34.3%,28,33.7%
Portland,12,52.1%,12,52.2%,28,57.4%,4,43.2%,6,42.8%,3,43.0%,25,37.1%,4,38.2%,8,37.9%
Sacramento,14,51.9%,20,51.6%,13,61.3%,24,39.6%,13,40.7%,17,40.2%,3,41.8%,9,37.3%,5,38.5%
San Antonio,10,52.7%,29,50.6%,8,62.2%,13,41.7%,5,43.2%,7,42.5%,1,42.7%,3,38.6%,1,39.8%
Toronto,13,51.9%,25,51.1%,9,61.8%,3,44.0%,11,41.6%,4,42.8%,19,38.2%,12,36.1%,13,36.7%
Utah,8,52.9%,11,52.4%,5,62.7%,12,41.7%,26,38.2%,18,40.1%,16,38.6%,10,37.3%,10,37.7%
Washington,6,53.2%,17,51.8%,10,61.5%,8,42.4%,2,44.2%,2,43.4%,28,34.9%,1,39.2%,7,38.0%
