Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,50.5%,,50.9%,,35.9%,,18.4%,,19.7%,,38.2%,,6.9%,,19.1%,,25.9%
Atlanta,7,51.8%,2,52.0%,8,38.0%,29,14.6%,25,16.3%,28,30.9%,8,7.7%,5,23.3%,6,31.0%
Boston,23,49.2%,8,51.3%,9,37.3%,19,17.1%,20,18.5%,22,35.6%,17,6.6%,12,20.4%,13,27.0%
Brooklyn,22,49.3%,28,49.8%,22,34.6%,1,24.3%,11,21.4%,3,45.7%,18,6.4%,28,13.4%,26,19.8%
Charlotte,17,50.2%,14,51.0%,25,32.8%,24,16.5%,21,18.5%,23,35.0%,22,5.7%,1,26.5%,4,32.2%
Chicago,26,48.8%,23,50.3%,16,35.4%,11,19.2%,7,22.9%,6,42.1%,28,5.3%,24,17.1%,24,22.5%
Cleveland,3,52.8%,9,51.3%,23,33.4%,15,18.5%,26,15.7%,25,34.1%,2,9.0%,4,23.5%,3,32.5%
Dallas,13,50.7%,20,50.4%,30,30.2%,14,18.5%,14,20.2%,15,38.6%,14,7.1%,3,24.1%,5,31.2%
Denver,24,49.0%,5,52.0%,2,42.1%,26,15.8%,23,17.1%,26,32.9%,26,5.5%,14,19.5%,18,25.0%
Detroit,21,49.6%,15,51.0%,17,35.3%,3,22.0%,27,15.3%,18,37.3%,10,7.6%,13,19.8%,11,27.4%
Golden State,1,56.5%,3,52.0%,14,36.2%,27,15.7%,28,14.5%,29,30.2%,4,8.2%,2,25.4%,1,33.6%
Houston,6,52.0%,1,52.9%,3,40.1%,25,16.3%,30,10.2%,30,26.5%,1,10.8%,8,22.6%,2,33.5%
Indiana,20,49.7%,25,50.2%,24,33.3%,22,16.6%,4,25.4%,7,41.9%,13,7.3%,21,17.4%,20,24.7%
LA Clippers,5,52.7%,21,50.4%,29,30.9%,30,13.9%,3,25.5%,11,39.4%,11,7.5%,9,22.1%,9,29.6%
LA Lakers,30,46.3%,26,50.1%,26,31.6%,12,19.1%,10,22.4%,10,41.5%,27,5.5%,10,21.4%,14,26.9%
Memphis,29,48.0%,19,50.6%,6,38.8%,4,21.3%,13,20.3%,9,41.6%,24,5.7%,27,13.9%,27,19.7%
Miami,12,50.7%,24,50.3%,11,36.8%,5,20.9%,9,22.6%,5,43.6%,6,7.8%,29,11.8%,28,19.7%
Milwaukee,16,50.3%,10,51.3%,1,44.0%,7,20.6%,18,18.6%,13,39.2%,29,5.1%,30,11.6%,30,16.8%
Minnesota,19,49.8%,27,49.9%,10,36.8%,13,18.8%,1,26.6%,4,45.4%,30,3.8%,26,14.0%,29,17.8%
New Orleans,18,50.0%,16,50.9%,12,36.5%,18,17.2%,12,21.0%,16,38.3%,20,6.1%,15,19.1%,17,25.2%
New York,27,48.8%,29,49.5%,28,31.0%,8,20.6%,5,25.1%,2,45.7%,23,5.7%,20,17.6%,22,23.3%
Oklahoma City,4,52.8%,6,51.5%,4,39.4%,21,16.8%,17,19.0%,21,35.8%,9,7.7%,23,17.2%,19,24.8%
Orlando,14,50.6%,22,50.3%,20,35.1%,16,18.4%,6,23.2%,8,41.7%,21,6.0%,22,17.3%,23,23.2%
Philadelphia,28,48.7%,4,52.0%,7,38.7%,17,18.3%,29,13.0%,27,31.3%,12,7.4%,7,22.6%,8,30.0%
Phoenix,25,49.0%,11,51.2%,13,36.5%,20,16.9%,16,19.0%,20,35.9%,16,6.7%,11,20.9%,10,27.6%
Portland,8,51.6%,7,51.4%,19,35.1%,28,15.0%,15,19.4%,24,34.4%,7,7.8%,6,22.7%,7,30.5%
Sacramento,10,51.1%,12,51.1%,5,38.8%,10,20.3%,22,17.4%,17,37.7%,25,5.7%,18,17.8%,21,23.5%
San Antonio,2,52.9%,30,49.3%,27,31.6%,2,22.1%,2,25.7%,1,47.8%,19,6.2%,25,14.4%,25,20.6%
Toronto,11,50.8%,17,50.8%,18,35.3%,9,20.5%,19,18.5%,14,39.0%,5,8.0%,19,17.8%,15,25.7%
Utah,15,50.4%,13,51.1%,15,35.6%,6,20.9%,24,16.4%,19,37.3%,3,8.9%,17,18.2%,12,27.1%
Washington,9,51.5%,18,50.7%,21,35.0%,23,16.5%,8,22.8%,12,39.3%,15,6.8%,16,18.8%,16,25.7%
