Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,53.1%,,53.5%,,64.8%,,42.5%,,41.1%,,42.0%,,38.3%,,34.6%,,35.5%
Atlanta,8,54.2%,22,53.0%,14,65.2%,12,42.7%,6,43.1%,8,42.8%,5,40.1%,2,36.8%,3,37.6%
Boston,19,53.0%,21,53.2%,6,68.3%,23,40.6%,14,41.2%,22,40.9%,10,39.2%,24,33.1%,24,34.7%
Brooklyn,10,53.6%,27,52.7%,27,62.0%,3,45.5%,1,47.7%,2,46.4%,15,38.2%,11,35.5%,10,36.2%
Charlotte,12,53.5%,2,55.0%,22,63.5%,29,37.2%,7,43.0%,26,38.8%,23,36.8%,9,35.8%,11,36.1%
Chicago,5,54.9%,26,52.8%,15,65.1%,2,46.7%,4,43.8%,3,45.3%,1,43.5%,10,35.6%,2,37.9%
Cleveland,11,53.6%,6,54.1%,9,66.3%,25,39.9%,8,42.8%,23,40.7%,28,34.8%,13,35.3%,19,35.1%
Dallas,15,53.4%,28,52.7%,5,68.5%,7,44.9%,15,41.2%,7,43.7%,8,39.7%,25,33.0%,22,34.8%
Denver,4,55.1%,9,54.0%,4,69.0%,8,44.4%,5,43.4%,6,44.1%,19,37.7%,19,34.3%,18,35.2%
Detroit,30,49.1%,7,54.1%,29,59.5%,27,37.4%,24,38.2%,28,37.7%,26,35.8%,28,31.8%,29,33.0%
Golden State,2,55.3%,11,53.9%,1,70.1%,13,42.6%,27,37.8%,21,40.9%,29,34.7%,1,37.1%,8,36.5%
Houston,14,53.4%,1,55.6%,21,63.6%,30,36.6%,30,30.3%,30,35.2%,27,35.0%,12,35.4%,17,35.3%
Indiana,16,53.3%,5,54.2%,16,64.9%,17,42.2%,12,41.5%,15,42.0%,22,36.9%,20,34.1%,23,34.8%
LA Clippers,20,52.9%,29,52.4%,18,64.0%,5,45.2%,28,37.6%,14,42.0%,3,41.1%,6,36.2%,5,37.3%
LA Lakers,13,53.5%,3,54.7%,11,65.7%,26,38.8%,22,39.3%,25,39.0%,12,38.7%,22,33.7%,21,34.9%
Memphis,24,52.3%,14,53.6%,20,63.7%,19,42.0%,19,39.5%,17,41.5%,24,36.5%,17,34.5%,20,35.0%
Miami,7,54.5%,17,53.5%,12,65.5%,16,42.3%,23,38.5%,19,41.1%,2,41.7%,3,36.6%,1,38.3%
Milwaukee,6,54.8%,16,53.5%,8,67.3%,10,43.5%,16,41.1%,9,42.6%,11,39.0%,5,36.2%,7,36.9%
Minnesota,9,53.8%,4,54.5%,17,64.2%,15,42.3%,25,38.1%,18,41.1%,14,38.5%,16,34.9%,13,35.8%
New Orleans,25,51.6%,15,53.6%,23,63.4%,9,43.6%,18,40.0%,12,42.2%,18,37.9%,29,31.6%,28,33.2%
New York,26,51.3%,12,53.7%,26,62.0%,28,37.3%,26,37.9%,29,37.6%,17,37.9%,14,35.0%,14,35.7%
Oklahoma City,29,49.3%,18,53.4%,30,59.4%,11,43.3%,20,39.3%,10,42.4%,30,34.5%,30,31.1%,30,31.8%
Orlando,28,50.4%,13,53.7%,24,63.2%,24,39.9%,29,35.3%,27,38.5%,25,36.4%,26,32.4%,27,33.2%
Philadelphia,17,53.2%,23,52.9%,10,65.8%,20,41.3%,3,44.3%,11,42.4%,21,37.3%,7,36.0%,9,36.4%
Phoenix,3,55.2%,30,51.4%,7,67.7%,1,49.2%,2,46.2%,1,48.2%,9,39.6%,4,36.4%,4,37.3%
Portland,23,52.3%,8,54.0%,28,60.0%,14,42.5%,17,40.4%,16,41.7%,13,38.5%,15,35.0%,12,35.8%
Sacramento,22,52.5%,19,53.3%,13,65.5%,18,42.2%,9,42.3%,13,42.2%,20,37.7%,23,33.4%,25,34.4%
San Antonio,21,52.8%,24,52.8%,19,63.9%,4,45.3%,10,41.9%,5,44.3%,16,38.1%,18,34.4%,16,35.3%
Toronto,27,51.0%,25,52.8%,25,62.1%,21,41.0%,21,39.3%,24,40.4%,4,40.8%,21,33.8%,15,35.6%
Utah,1,56.2%,10,53.9%,3,69.1%,6,45.1%,11,41.6%,4,44.6%,7,39.8%,8,35.9%,6,37.0%
Washington,18,53.2%,20,53.2%,2,69.7%,22,40.8%,13,41.3%,20,40.9%,6,39.9%,27,32.3%,26,34.3%
