Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,49.8%,,50.3%,,35.8%,,18.6%,,21.2%,,39.8%,,6.6%,,17.8%,,24.4%
Atlanta,3,53.0%,6,51.0%,16,35.5%,23,17.4%,26,17.4%,26,34.8%,3,8.5%,5,21.3%,3,29.7%
Boston,20,49.1%,18,50.1%,21,34.5%,25,16.4%,9,23.3%,15,39.7%,20,5.7%,9,20.1%,13,25.8%
Brooklyn,18,49.4%,23,49.5%,24,33.6%,1,25.2%,21,19.4%,8,44.6%,14,6.6%,25,15.2%,21,21.8%
Charlotte,30,45.9%,29,48.9%,25,32.6%,10,19.3%,4,27.9%,2,47.2%,29,3.8%,20,16.4%,26,20.2%
Chicago,22,49.1%,9,50.7%,8,38.2%,16,17.7%,19,19.8%,21,37.5%,23,5.6%,13,18.8%,16,24.3%
Cleveland,4,52.2%,3,51.2%,13,36.2%,14,17.8%,27,15.8%,28,33.7%,2,9.2%,7,21.0%,2,30.1%
Dallas,7,51.5%,14,50.4%,18,34.9%,26,16.2%,13,21.9%,19,38.1%,16,6.4%,8,20.6%,9,27.0%
Denver,24,48.4%,8,50.8%,10,37.8%,20,17.6%,23,18.7%,25,36.3%,17,6.4%,11,19.5%,12,25.9%
Detroit,25,48.3%,4,51.2%,5,39.1%,9,19.3%,28,15.2%,27,34.6%,13,6.9%,12,19.5%,11,26.4%
Golden State,1,54.6%,11,50.6%,20,34.5%,13,18.2%,24,18.2%,24,36.4%,11,7.0%,3,22.2%,6,29.1%
Houston,6,51.6%,1,52.5%,7,38.5%,17,17.6%,30,8.3%,30,26.0%,1,12.2%,1,23.3%,1,35.6%
Indiana,23,48.6%,27,49.1%,28,30.9%,7,20.6%,7,25.3%,7,46.0%,15,6.5%,19,16.7%,19,23.1%
LA Clippers,2,53.6%,21,50.0%,30,30.7%,30,14.1%,6,25.6%,17,39.7%,4,8.4%,6,21.2%,4,29.6%
LA Lakers,27,47.2%,26,49.2%,23,33.8%,18,17.6%,3,28.4%,6,46.0%,28,3.9%,21,16.3%,25,20.2%
Memphis,19,49.1%,24,49.4%,12,37.0%,2,24.5%,12,22.0%,5,46.4%,26,4.6%,30,11.9%,29,16.5%
Miami,11,50.3%,17,50.2%,15,35.5%,11,18.7%,11,22.5%,10,41.1%,6,7.9%,24,15.4%,18,23.3%
Milwaukee,13,50.1%,10,50.6%,4,39.8%,27,16.1%,8,23.6%,16,39.7%,12,6.9%,26,13.5%,24,20.5%
Minnesota,28,46.7%,28,49.0%,14,35.8%,6,20.7%,5,27.8%,1,48.5%,30,3.6%,29,12.1%,30,15.7%
New Orleans,12,50.3%,5,51.1%,1,42.4%,28,16.0%,16,20.5%,23,36.6%,25,5.4%,22,15.6%,23,21.0%
New York,26,47.3%,30,48.9%,27,30.9%,19,17.6%,1,29.5%,3,47.2%,27,4.4%,16,17.6%,20,22.0%
Oklahoma City,17,49.5%,13,50.5%,11,37.3%,15,17.7%,14,21.3%,18,39.0%,18,6.1%,15,17.6%,17,23.7%
Orlando,15,49.6%,16,50.3%,9,37.9%,8,20.5%,18,20.0%,12,40.6%,19,6.0%,23,15.6%,22,21.6%
Philadelphia,29,46.1%,2,51.8%,2,41.1%,29,15.8%,29,14.3%,29,30.1%,22,5.6%,2,23.2%,7,28.8%
Phoenix,10,50.6%,12,50.5%,17,35.3%,22,17.5%,17,20.5%,20,38.0%,5,8.3%,14,18.4%,10,26.7%
Portland,8,51.2%,22,49.9%,29,30.8%,24,16.5%,10,23.3%,14,39.9%,8,7.8%,4,21.6%,5,29.4%
Sacramento,21,49.1%,15,50.3%,3,40.2%,5,20.7%,15,21.2%,9,41.9%,21,5.7%,28,12.2%,28,17.9%
San Antonio,5,52.2%,19,50.0%,22,34.3%,3,23.0%,25,18.0%,11,41.0%,9,7.4%,18,17.3%,14,24.7%
Toronto,9,51.1%,20,50.0%,26,32.2%,4,21.2%,22,18.9%,13,40.0%,7,7.8%,10,20.0%,8,27.7%
Utah,16,49.6%,7,50.8%,6,38.5%,21,17.6%,20,19.5%,22,37.1%,10,7.1%,17,17.3%,15,24.4%
Washington,14,50.1%,25,49.3%,19,34.6%,12,18.4%,2,28.4%,4,46.8%,24,5.5%,27,13.0%,27,18.5%
