Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,50.5%,,50.9%,,60.3%,,39.9%,,40.1%,,40.0%,,37.7%,,35.4%,,36.0%
Atlanta,7,51.8%,2,52.0%,17,60.0%,21,39.0%,5,42.8%,8,41.0%,21,36.1%,15,35.2%,22,35.4%
Boston,23,49.2%,8,51.3%,14,60.3%,29,36.7%,26,38.0%,28,37.4%,26,34.9%,26,33.6%,28,33.9%
Brooklyn,22,49.3%,28,49.8%,20,58.9%,3,42.4%,20,39.2%,11,40.9%,14,38.5%,20,34.5%,14,35.8%
Charlotte,17,50.2%,14,51.0%,23,58.3%,16,39.6%,17,39.7%,15,39.7%,5,40.7%,16,35.2%,12,36.2%
Chicago,26,48.8%,23,50.3%,30,55.5%,22,38.4%,12,40.4%,17,39.5%,8,39.6%,5,37.2%,5,37.8%
Cleveland,3,52.8%,9,51.3%,4,63.9%,15,39.8%,2,43.1%,5,41.3%,13,39.1%,12,35.5%,7,36.5%
Dallas,13,50.7%,20,50.4%,9,62.1%,11,40.3%,11,41.3%,12,40.8%,7,39.8%,24,34.1%,23,35.4%
Denver,24,49.0%,5,52.0%,27,56.8%,28,37.4%,19,39.2%,25,38.4%,27,34.3%,22,34.3%,25,34.3%
Detroit,21,49.6%,15,51.0%,21,58.8%,23,38.3%,14,40.3%,23,39.1%,19,36.7%,17,35.1%,18,35.6%
Golden State,1,56.5%,3,52.0%,5,63.9%,19,39.2%,4,42.8%,10,41.0%,1,41.7%,1,42.1%,1,42.0%
Houston,6,52.0%,1,52.9%,11,61.1%,25,38.0%,23,38.6%,26,38.2%,22,35.8%,14,35.3%,21,35.5%
Indiana,20,49.7%,25,50.2%,10,61.5%,4,42.1%,27,37.4%,22,39.2%,11,39.3%,23,34.2%,16,35.7%
LA Clippers,5,52.7%,21,50.4%,1,65.4%,7,41.2%,8,42.0%,3,41.7%,2,41.7%,10,35.5%,6,37.1%
LA Lakers,30,46.3%,26,50.1%,29,56.3%,9,40.6%,29,36.0%,27,38.1%,29,32.7%,30,32.4%,30,32.4%
Memphis,29,48.0%,19,50.6%,28,56.4%,20,39.2%,15,40.1%,16,39.6%,30,32.0%,18,35.0%,26,34.1%
Miami,12,50.7%,24,50.3%,2,65.2%,14,39.8%,16,40.1%,14,39.9%,25,35.1%,27,33.1%,29,33.9%
Milwaukee,16,50.3%,10,51.3%,15,60.3%,13,40.0%,24,38.4%,21,39.2%,23,35.8%,11,35.5%,17,35.6%
Minnesota,19,49.8%,27,49.9%,6,63.7%,10,40.5%,22,38.8%,18,39.5%,12,39.1%,28,33.0%,24,34.4%
New Orleans,18,50.0%,16,50.9%,25,57.8%,24,38.2%,7,42.2%,13,40.5%,28,32.9%,3,37.4%,10,36.3%
New York,27,48.8%,29,49.5%,26,57.3%,6,41.6%,10,41.3%,4,41.4%,6,40.4%,25,33.9%,20,35.5%
Oklahoma City,4,52.8%,6,51.5%,12,60.8%,1,44.9%,1,44.1%,1,44.4%,24,35.7%,9,35.8%,15,35.7%
Orlando,14,50.6%,22,50.3%,16,60.2%,8,40.9%,9,41.5%,7,41.3%,18,37.2%,7,35.9%,11,36.3%
Philadelphia,28,48.7%,4,52.0%,19,59.0%,30,35.4%,30,35.0%,30,35.3%,17,37.4%,29,33.0%,27,34.1%
Phoenix,25,49.0%,11,51.2%,22,58.6%,27,37.5%,28,36.2%,29,36.8%,20,36.2%,13,35.4%,19,35.6%
Portland,8,51.6%,7,51.4%,24,57.8%,18,39.5%,6,42.6%,6,41.3%,10,39.4%,4,37.2%,4,37.8%
Sacramento,10,51.1%,12,51.1%,7,62.5%,26,37.9%,18,39.4%,24,38.7%,3,41.4%,19,34.7%,9,36.3%
San Antonio,2,52.9%,30,49.3%,3,64.9%,2,44.5%,3,42.9%,2,43.6%,15,38.2%,2,38.6%,2,38.5%
Toronto,11,50.8%,17,50.8%,18,59.6%,12,40.2%,25,38.2%,19,39.3%,4,40.9%,6,36.4%,3,37.8%
Utah,15,50.4%,13,51.1%,13,60.3%,17,39.6%,21,38.9%,20,39.3%,9,39.5%,21,34.4%,13,36.1%
Washington,9,51.5%,18,50.7%,8,62.4%,5,42.0%,13,40.3%,9,41.0%,16,38.1%,8,35.9%,8,36.5%
