Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,52.4%,,52.7%,,63.1%,,39.9%,,40.4%,,40.1%,,39.3%,,35.9%,,36.7%
Atlanta,23,51.4%,13,53.1%,24,61.2%,30,35.1%,9,41.3%,25,38.3%,1,43.0%,29,34.0%,17,36.4%
Boston,16,52.1%,17,52.6%,28,59.5%,22,37.6%,3,43.5%,13,40.3%,6,41.3%,5,37.4%,2,38.3%
Brooklyn,18,51.6%,6,53.4%,22,61.8%,19,38.5%,30,35.6%,29,37.6%,26,36.5%,18,35.7%,24,35.9%
Charlotte,24,51.1%,23,52.2%,25,61.2%,11,40.7%,29,36.5%,18,38.7%,25,36.9%,2,38.0%,5,37.8%
Chicago,29,49.8%,20,52.4%,29,59.0%,20,38.4%,22,39.0%,19,38.6%,21,38.1%,20,35.4%,23,35.9%
Cleveland,3,54.8%,5,53.5%,1,68.4%,27,36.6%,12,40.5%,20,38.6%,8,40.8%,10,36.1%,10,37.4%
Dallas,19,51.5%,22,52.3%,20,62.1%,13,39.8%,18,40.0%,15,39.9%,4,41.8%,21,35.3%,16,36.5%
Denver,7,53.8%,8,53.2%,15,63.4%,8,41.3%,13,40.5%,10,41.0%,3,41.9%,8,36.5%,9,37.4%
Detroit,21,51.4%,21,52.3%,23,61.7%,25,37.1%,14,40.4%,23,38.5%,19,38.5%,4,37.6%,4,37.8%
Golden State,1,57.4%,25,52.1%,2,68.4%,1,46.2%,1,46.7%,1,46.5%,14,39.8%,1,40.0%,1,40.0%
Houston,2,55.6%,1,55.2%,8,64.6%,28,36.5%,2,46.5%,12,40.3%,16,39.8%,14,35.9%,13,36.9%
Indiana,10,52.8%,24,52.1%,18,62.4%,7,42.0%,4,43.1%,3,42.6%,2,42.7%,11,36.0%,7,37.6%
LA Clippers,11,52.7%,2,54.0%,16,63.1%,14,39.5%,25,38.0%,17,38.9%,30,33.9%,12,36.0%,27,35.5%
LA Lakers,15,52.1%,3,53.7%,12,63.7%,23,37.4%,27,37.1%,30,37.3%,12,40.2%,26,34.3%,29,35.3%
Memphis,28,50.4%,11,53.2%,27,59.7%,29,36.5%,20,39.8%,26,38.1%,29,35.4%,15,35.9%,25,35.8%
Miami,14,52.3%,10,53.2%,13,63.6%,18,38.6%,26,37.5%,27,38.1%,18,38.9%,13,35.9%,14,36.7%
Milwaukee,8,53.3%,12,53.1%,9,64.5%,9,41.2%,5,42.5%,6,41.8%,10,40.6%,27,34.3%,22,36.0%
Minnesota,13,52.6%,27,51.3%,4,66.3%,3,43.8%,11,40.6%,4,42.3%,17,39.7%,23,35.2%,19,36.3%
New Orleans,4,54.6%,15,52.9%,6,65.2%,2,45.9%,15,40.3%,2,43.6%,11,40.4%,17,35.7%,12,36.9%
New York,20,51.5%,28,51.3%,17,63.0%,4,43.2%,17,40.0%,8,41.6%,9,40.8%,25,34.9%,21,36.1%
Oklahoma City,17,51.8%,7,53.3%,21,61.8%,15,39.4%,24,38.1%,21,38.6%,24,37.7%,16,35.7%,20,36.2%
Orlando,22,51.4%,19,52.4%,5,65.6%,26,36.8%,23,38.9%,28,37.7%,28,36.1%,22,35.2%,28,35.4%
Philadelphia,6,54.1%,18,52.5%,3,67.3%,21,38.3%,6,42.3%,14,40.0%,15,39.8%,7,37.1%,8,37.6%
Phoenix,30,49.7%,14,53.0%,26,59.8%,16,39.2%,28,37.1%,24,38.3%,27,36.4%,30,33.3%,30,34.0%
Portland,25,51.1%,16,52.6%,30,58.2%,12,40.5%,7,42.2%,9,41.3%,23,37.8%,9,36.4%,15,36.6%
Sacramento,27,50.5%,30,50.9%,19,62.2%,17,38.8%,21,39.6%,16,39.2%,7,41.2%,6,37.2%,3,38.2%
San Antonio,26,50.8%,29,51.2%,14,63.5%,10,41.1%,19,40.0%,11,40.6%,13,40.0%,28,34.2%,26,35.6%
Toronto,5,54.1%,4,53.5%,7,64.8%,6,42.3%,10,41.0%,7,41.8%,20,38.4%,19,35.6%,18,36.4%
Utah,9,52.9%,9,53.2%,10,64.5%,24,37.2%,16,40.1%,22,38.5%,5,41.7%,24,35.1%,11,37.1%
Washington,12,52.6%,26,51.4%,11,64.1%,5,42.8%,8,41.4%,5,42.1%,22,37.9%,3,37.7%,6,37.7%
