Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,54.1%,,54.5%,,33.3%,,20.3%,,10.3%,,30.6%,,8.8%,,27.4%,,36.1%
Atlanta,16,54.2%,18,54.2%,16,32.4%,8,22.7%,17,9.5%,11,32.2%,22,8.0%,15,27.3%,18,35.4%
Boston,13,54.5%,21,54.0%,25,30.1%,12,21.4%,13,10.4%,12,31.8%,23,7.7%,7,30.4%,9,38.1%
Brooklyn,1,58.2%,13,54.8%,11,34.0%,14,19.9%,21,8.2%,19,28.1%,14,8.8%,11,29.1%,10,37.9%
Charlotte,19,53.7%,5,55.5%,9,36.0%,28,16.9%,23,7.9%,28,24.8%,8,9.4%,8,29.8%,8,39.2%
Chicago,9,55.1%,14,54.7%,10,34.8%,19,19.1%,14,10.3%,17,29.4%,13,9.0%,18,26.9%,16,35.8%
Cleveland,29,51.2%,8,55.1%,3,38.7%,7,22.7%,29,6.9%,15,29.6%,27,7.4%,24,24.2%,25,31.6%
Dallas,7,55.6%,20,54.0%,28,28.5%,15,19.7%,12,11.0%,13,30.7%,10,9.0%,3,31.8%,4,40.8%
Denver,6,56.3%,22,53.9%,22,31.2%,11,21.5%,9,11.6%,9,33.1%,18,8.6%,16,27.1%,17,35.7%
Detroit,27,51.9%,9,55.1%,8,36.5%,16,19.6%,19,8.6%,18,28.2%,17,8.7%,19,26.6%,19,35.3%
Golden State,10,55.0%,15,54.7%,20,31.9%,25,17.7%,15,10.0%,20,27.7%,9,9.4%,5,31.1%,6,40.5%
Houston,23,52.7%,1,56.1%,5,37.4%,30,14.0%,28,7.0%,30,20.9%,5,10.4%,4,31.3%,3,41.7%
Indiana,14,54.4%,4,55.5%,2,39.2%,22,18.4%,24,7.8%,25,26.2%,25,7.7%,17,26.9%,20,34.6%
LA Clippers,2,57.0%,23,53.8%,26,29.4%,18,19.6%,5,14.0%,8,33.5%,2,11.3%,22,25.8%,13,37.1%
LA Lakers,18,54.0%,10,54.9%,6,37.1%,21,18.4%,11,11.1%,16,29.6%,11,9.0%,23,24.4%,23,33.4%
Memphis,22,52.8%,25,53.6%,19,32.1%,1,29.4%,26,7.3%,4,36.7%,16,8.7%,27,22.4%,27,31.1%
Miami,11,54.7%,11,54.9%,13,32.8%,23,17.8%,18,9.5%,21,27.3%,4,10.5%,9,29.5%,7,40.0%
Milwaukee,5,56.7%,17,54.4%,15,32.5%,20,18.7%,10,11.1%,14,29.9%,19,8.5%,10,29.1%,12,37.6%
Minnesota,25,52.3%,3,55.6%,4,37.8%,27,17.0%,25,7.5%,29,24.6%,15,8.8%,13,28.9%,11,37.7%
New Orleans,17,54.0%,2,55.7%,1,41.8%,26,17.2%,16,9.8%,23,27.1%,20,8.1%,25,23.0%,28,31.1%
New York,24,52.6%,24,53.8%,17,32.4%,9,22.5%,6,13.1%,7,35.6%,7,9.8%,29,22.2%,24,32.0%
Oklahoma City,28,51.4%,6,55.2%,7,36.5%,17,19.6%,27,7.2%,24,26.8%,24,7.7%,12,29.0%,14,36.7%
Orlando,30,49.5%,30,52.8%,29,27.9%,6,23.2%,2,15.4%,3,38.6%,30,5.6%,14,27.9%,22,33.5%
Philadelphia,15,54.3%,26,53.6%,18,32.2%,5,23.6%,7,12.9%,5,36.5%,12,9.0%,28,22.3%,26,31.3%
Phoenix,4,56.8%,27,53.2%,30,27.2%,10,21.5%,4,14.7%,6,36.2%,3,10.6%,21,26.0%,15,36.6%
Portland,12,54.6%,16,54.6%,23,31.0%,29,14.7%,8,12.5%,22,27.2%,26,7.5%,1,34.3%,2,41.8%
Sacramento,8,55.3%,19,54.1%,14,32.7%,3,24.4%,20,8.3%,10,32.7%,21,8.1%,20,26.5%,21,34.6%
San Antonio,26,52.1%,28,53.1%,21,31.5%,4,23.6%,1,15.6%,2,39.2%,29,6.4%,26,23.0%,29,29.4%
Toronto,21,53.2%,7,55.1%,12,33.4%,24,17.7%,22,8.2%,26,26.0%,6,10.0%,6,30.7%,5,40.6%
Utah,3,56.9%,12,54.9%,27,29.0%,13,20.8%,30,4.9%,27,25.7%,1,12.6%,2,32.7%,1,45.3%
Washington,20,53.4%,29,53.0%,24,30.9%,2,24.9%,3,15.0%,1,39.9%,28,7.4%,30,21.8%,30,29.2%
