Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,53.2%,,53.5%,,35.2%,,18.7%,,10.7%,,29.3%,,8.2%,,27.2%,,35.5%
Atlanta,25,51.8%,11,53.6%,14,35.2%,14,19.4%,20,8.6%,18,28.0%,16,8.2%,10,28.5%,11,36.7%
Boston,18,53.2%,14,53.4%,15,35.0%,15,18.8%,15,10.3%,16,29.2%,23,7.1%,8,28.7%,14,35.8%
Brooklyn,22,52.4%,4,54.8%,4,38.8%,25,16.0%,27,6.3%,27,22.3%,10,9.1%,5,29.8%,5,38.9%
Charlotte,28,51.0%,7,54.4%,6,38.4%,16,18.7%,28,5.7%,25,24.4%,15,8.2%,7,29.0%,10,37.2%
Chicago,24,52.1%,2,54.9%,1,40.5%,26,15.6%,25,7.3%,26,22.9%,11,8.7%,15,27.9%,13,36.6%
Cleveland,21,52.5%,16,53.3%,11,35.8%,3,21.4%,18,9.0%,14,30.4%,19,7.3%,18,26.5%,19,33.8%
Dallas,4,54.8%,15,53.4%,29,30.8%,17,18.6%,21,8.2%,22,26.8%,7,9.5%,2,32.9%,2,42.4%
Denver,9,53.7%,23,52.8%,18,34.8%,7,20.5%,9,13.2%,6,33.7%,17,7.4%,26,24.2%,27,31.6%
Detroit,20,53.0%,9,54.0%,9,37.1%,10,20.2%,24,7.4%,21,27.7%,3,10.7%,25,24.4%,15,35.2%
Golden State,30,50.0%,29,52.2%,28,31.6%,8,20.5%,3,15.5%,2,36.0%,28,6.5%,20,25.9%,24,32.4%
Houston,7,53.9%,1,55.2%,12,35.7%,30,13.1%,30,5.0%,30,18.1%,1,12.2%,1,34.0%,1,46.2%
Indiana,8,53.9%,21,53.0%,10,36.5%,18,18.4%,2,15.6%,4,34.0%,18,7.4%,30,22.1%,29,29.5%
LA Clippers,13,53.5%,19,53.2%,19,34.6%,12,19.6%,12,11.8%,13,31.4%,8,9.2%,22,24.8%,17,34.0%
LA Lakers,6,54.3%,8,54.3%,2,39.8%,28,15.3%,11,12.4%,20,27.7%,6,9.6%,28,22.9%,23,32.5%
Memphis,19,53.1%,22,52.9%,16,35.0%,1,24.9%,22,8.2%,8,33.0%,20,7.3%,24,24.6%,26,31.9%
Miami,3,55.1%,13,53.5%,23,33.1%,20,17.8%,14,10.7%,17,28.5%,4,9.8%,9,28.6%,7,38.4%
Milwaukee,1,55.5%,10,53.9%,17,34.9%,23,16.7%,19,8.9%,23,25.7%,12,8.7%,4,30.8%,4,39.4%
Minnesota,26,51.8%,5,54.6%,7,38.2%,24,16.7%,29,5.6%,28,22.3%,22,7.2%,3,32.3%,3,39.5%
New Orleans,5,54.5%,6,54.4%,8,37.6%,27,15.4%,17,9.3%,24,24.7%,5,9.8%,14,27.9%,9,37.7%
New York,29,50.3%,17,53.3%,5,38.6%,21,17.8%,5,14.9%,10,32.7%,27,6.6%,29,22.1%,30,28.7%
Oklahoma City,17,53.4%,28,52.5%,22,33.1%,6,20.7%,6,13.9%,3,34.5%,25,6.9%,21,25.4%,25,32.3%
Orlando,27,51.2%,27,52.6%,26,32.9%,13,19.5%,7,13.8%,7,33.3%,30,5.3%,11,28.5%,18,33.9%
Philadelphia,10,53.7%,26,52.6%,24,33.0%,4,21.3%,10,12.4%,5,33.8%,21,7.3%,19,25.9%,21,33.2%
Phoenix,16,53.4%,18,53.2%,13,35.3%,11,19.7%,13,11.7%,12,31.4%,14,8.5%,23,24.8%,20,33.3%
Portland,11,53.6%,24,52.8%,27,32.8%,19,18.3%,8,13.8%,11,32.1%,24,7.0%,13,28.1%,16,35.1%
Sacramento,12,53.6%,20,53.1%,25,33.0%,9,20.3%,16,10.1%,15,30.4%,13,8.5%,12,28.1%,12,36.6%
San Antonio,15,53.5%,30,51.2%,30,28.6%,2,22.0%,1,19.5%,1,41.5%,26,6.7%,27,23.2%,28,29.8%
Toronto,14,53.5%,3,54.8%,3,39.0%,29,14.6%,23,7.6%,29,22.1%,9,9.2%,6,29.7%,6,38.9%
Utah,2,55.3%,12,53.6%,21,33.8%,5,21.2%,26,6.8%,19,28.0%,2,11.0%,16,27.2%,8,38.2%
Washington,23,52.3%,25,52.8%,20,33.9%,22,17.5%,4,15.5%,9,32.9%,29,6.2%,17,27.0%,22,33.2%
