Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,50.4%,,50.8%,,60.8%,,39.1%,,39.8%,,39.5%,,39.0%,,35.8%,,36.6%
Atlanta,10,51.6%,8,51.1%,12,61.6%,5,41.5%,15,40.7%,6,41.1%,16,39.1%,16,35.7%,14,36.6%
Boston,29,47.7%,22,50.3%,24,58.1%,27,36.1%,8,41.3%,17,39.3%,17,38.4%,28,31.8%,28,33.5%
Brooklyn,9,51.7%,15,50.6%,18,60.5%,2,42.8%,13,40.9%,4,41.8%,9,40.3%,10,37.1%,9,38.0%
Charlotte,26,48.2%,25,50.1%,23,58.5%,4,41.7%,27,37.0%,19,38.8%,23,37.5%,20,35.2%,23,35.7%
Chicago,30,47.6%,16,50.6%,28,56.4%,29,34.8%,19,39.1%,25,37.5%,20,38.0%,19,35.5%,20,36.1%
Cleveland,25,48.3%,27,50.0%,30,56.0%,12,39.5%,16,40.2%,16,39.9%,21,38.0%,13,36.6%,13,37.0%
Dallas,4,52.8%,24,50.1%,5,63.5%,6,41.4%,1,43.0%,2,42.2%,2,42.5%,5,37.9%,3,38.9%
Denver,16,50.0%,5,51.7%,15,60.9%,30,34.7%,25,37.4%,29,36.1%,3,42.1%,23,34.5%,17,36.4%
Detroit,23,48.6%,4,51.9%,14,61.1%,28,35.2%,29,35.2%,30,35.2%,14,39.6%,30,30.4%,29,32.9%
Golden State,7,52.3%,14,50.7%,10,62.1%,10,40.2%,9,41.3%,7,40.7%,6,40.9%,3,38.4%,2,39.0%
Houston,3,53.3%,1,53.2%,8,62.6%,11,40.0%,28,36.2%,20,38.8%,19,38.0%,18,35.5%,19,36.1%
Indiana,19,49.2%,30,49.6%,22,59.2%,16,38.6%,3,42.4%,9,40.7%,4,41.4%,22,34.8%,16,36.6%
LA Clippers,5,52.6%,9,51.0%,2,67.7%,13,39.3%,6,41.5%,8,40.7%,8,40.5%,26,33.1%,24,35.4%
LA Lakers,13,50.6%,18,50.5%,13,61.3%,17,38.5%,21,38.1%,22,38.3%,7,40.7%,6,37.9%,6,38.6%
Memphis,18,49.6%,29,49.7%,16,60.7%,7,40.9%,17,40.0%,10,40.5%,26,36.1%,14,36.2%,18,36.2%
Miami,1,55.9%,3,52.1%,1,68.1%,1,46.4%,5,41.6%,1,43.5%,1,42.7%,25,33.6%,12,37.1%
Milwaukee,27,48.0%,11,50.9%,29,56.3%,26,36.4%,18,39.2%,23,38.0%,24,36.5%,17,35.6%,22,35.8%
Minnesota,20,49.0%,6,51.5%,20,59.9%,22,38.1%,30,34.9%,28,36.4%,29,33.6%,21,35.1%,26,34.7%
New Orleans,17,49.9%,10,51.0%,26,56.9%,15,38.9%,10,41.2%,14,40.1%,22,37.5%,2,39.1%,5,38.7%
New York,12,50.9%,17,50.6%,21,59.5%,19,38.4%,7,41.3%,11,40.4%,13,39.7%,7,37.9%,7,38.3%
Oklahoma City,8,52.2%,13,50.7%,6,63.5%,8,40.9%,2,42.8%,3,42.0%,28,35.0%,9,37.2%,15,36.6%
Orlando,21,48.9%,26,50.1%,25,58.1%,14,39.3%,14,40.8%,12,40.2%,27,36.0%,15,36.0%,21,36.0%
Philadelphia,28,47.8%,2,52.4%,27,56.8%,25,36.5%,24,37.6%,27,37.0%,30,33.0%,29,31.6%,30,31.9%
Phoenix,6,52.4%,7,51.3%,7,62.6%,18,38.5%,4,41.6%,13,40.2%,5,40.9%,12,36.8%,8,38.0%
Portland,14,50.5%,20,50.4%,19,60.5%,21,38.2%,11,41.1%,15,39.9%,18,38.2%,8,37.3%,11,37.6%
Sacramento,24,48.5%,28,49.8%,9,62.1%,20,38.4%,20,39.1%,21,38.7%,25,36.2%,27,33.0%,27,33.7%
San Antonio,2,53.9%,12,50.8%,3,64.9%,3,42.4%,12,41.0%,5,41.6%,10,40.3%,1,39.9%,1,40.0%
Toronto,15,50.1%,23,50.2%,17,60.6%,9,40.7%,22,38.0%,18,39.3%,11,40.0%,11,37.1%,10,37.9%
Utah,22,48.7%,21,50.4%,11,62.0%,24,37.3%,26,37.0%,26,37.1%,15,39.4%,24,33.8%,25,35.2%
Washington,11,50.9%,19,50.4%,4,64.3%,23,37.9%,23,37.9%,24,37.9%,12,39.9%,4,38.2%,4,38.7%
