Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,53.2%,,53.5%,,63.5%,,40.1%,,40.8%,,40.3%,,39.0%,,35.5%,,36.3%
Atlanta,25,51.8%,11,53.6%,10,64.2%,15,39.9%,23,38.1%,17,39.3%,29,33.7%,27,33.6%,30,33.6%
Boston,18,53.2%,14,53.4%,23,62.1%,12,40.2%,10,41.8%,13,40.8%,19,38.6%,9,36.4%,14,36.9%
Brooklyn,22,52.4%,4,54.8%,24,62.0%,29,35.0%,13,40.5%,28,36.6%,20,38.6%,25,33.9%,24,35.0%
Charlotte,28,51.0%,7,54.4%,30,59.4%,30,34.4%,30,33.9%,30,34.3%,13,39.4%,16,35.1%,17,36.1%
Chicago,24,52.1%,2,54.9%,27,60.6%,25,37.1%,29,36.1%,26,36.8%,21,38.5%,20,34.5%,21,35.4%
Cleveland,21,52.5%,16,53.3%,28,60.5%,4,43.2%,14,40.5%,7,42.4%,6,41.1%,22,34.4%,19,35.9%
Dallas,4,54.8%,15,53.4%,3,67.3%,18,39.4%,7,43.0%,15,40.5%,11,39.8%,14,36.1%,12,37.0%
Denver,9,53.7%,23,52.8%,6,65.5%,17,39.5%,3,45.7%,8,42.0%,7,41.0%,19,34.9%,15,36.3%
Detroit,20,53.0%,9,54.0%,20,62.4%,23,38.1%,18,39.4%,23,38.4%,2,41.9%,18,35.1%,9,37.1%
Golden State,30,50.0%,29,52.2%,21,62.3%,21,39.0%,16,39.7%,19,39.3%,12,39.6%,30,32.6%,29,34.0%
Houston,7,53.9%,1,55.2%,13,63.8%,19,39.4%,20,39.2%,18,39.3%,23,38.2%,26,33.6%,26,34.9%
Indiana,8,53.9%,21,53.0%,19,62.4%,1,44.8%,9,42.3%,2,43.6%,10,39.9%,7,36.6%,7,37.4%
LA Clippers,13,53.5%,19,53.2%,17,63.1%,7,42.2%,15,40.2%,10,41.4%,14,39.0%,11,36.4%,10,37.1%
LA Lakers,6,54.3%,8,54.3%,1,68.8%,24,37.9%,26,36.5%,25,37.2%,8,40.9%,29,32.9%,22,35.3%
Memphis,19,53.1%,22,52.9%,12,63.9%,3,44.1%,17,39.5%,5,43.0%,26,37.6%,21,34.4%,23,35.2%
Miami,3,55.1%,13,53.5%,4,66.9%,16,39.5%,22,38.3%,20,39.1%,17,38.7%,1,38.5%,2,38.6%
Milwaukee,1,55.5%,10,53.9%,2,67.7%,10,40.7%,1,47.9%,4,43.2%,18,38.6%,17,35.1%,20,35.9%
Minnesota,26,51.8%,5,54.6%,22,62.2%,28,36.1%,27,36.2%,29,36.1%,30,33.7%,23,34.3%,27,34.2%
New Orleans,5,54.5%,6,54.4%,14,63.6%,20,39.3%,24,38.0%,21,38.8%,5,41.1%,10,36.4%,5,37.6%
New York,29,50.3%,17,53.3%,26,60.8%,22,38.4%,21,38.8%,22,38.6%,25,37.6%,28,33.1%,28,34.1%
Oklahoma City,17,53.4%,28,52.5%,11,64.2%,9,40.9%,2,47.1%,3,43.5%,28,34.5%,8,36.4%,18,36.0%
Orlando,27,51.2%,27,52.6%,18,63.0%,11,40.6%,25,37.8%,16,39.4%,15,38.9%,24,34.3%,25,35.0%
Philadelphia,10,53.7%,26,52.6%,7,64.7%,8,41.3%,11,40.7%,12,41.1%,3,41.5%,12,36.3%,6,37.4%
Phoenix,16,53.4%,18,53.2%,16,63.4%,5,42.8%,12,40.6%,9,42.0%,27,37.4%,15,35.6%,16,36.1%
Portland,11,53.6%,24,52.8%,29,60.4%,6,42.6%,6,43.3%,6,42.9%,1,42.2%,5,37.3%,3,38.3%
Sacramento,12,53.6%,20,53.1%,15,63.6%,13,40.1%,4,43.8%,11,41.4%,16,38.9%,13,36.3%,13,36.9%
San Antonio,15,53.5%,30,51.2%,9,64.4%,2,44.4%,5,43.6%,1,44.0%,9,40.3%,3,37.5%,4,38.1%
Toronto,14,53.5%,3,54.8%,25,61.2%,26,36.9%,28,36.1%,27,36.7%,24,37.9%,4,37.3%,8,37.4%
Utah,2,55.3%,12,53.6%,5,65.6%,14,40.0%,8,42.5%,14,40.6%,4,41.3%,2,37.6%,1,38.6%
Washington,23,52.3%,25,52.8%,8,64.4%,27,36.5%,19,39.3%,24,37.9%,22,38.5%,6,36.7%,11,37.0%
