Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,51.7%,,52.0%,,35.4%,,17.8%,,17.8%,,35.6%,,7.1%,,22.0%,,29.0%
Atlanta,18,50.8%,10,52.5%,4,38.8%,26,14.7%,15,18.6%,21,33.3%,17,6.9%,16,21.0%,16,27.9%
Boston,9,52.8%,5,53.0%,16,35.5%,25,14.8%,27,13.4%,28,28.1%,5,8.4%,2,28.0%,3,36.4%
Brooklyn,17,50.8%,2,53.2%,5,38.3%,12,18.7%,29,9.1%,29,27.8%,7,7.6%,6,26.2%,5,33.9%
Charlotte,21,50.4%,19,51.7%,24,33.0%,20,16.8%,14,18.9%,16,35.7%,30,4.4%,3,26.9%,8,31.3%
Chicago,30,49.0%,26,51.0%,22,34.0%,7,20.0%,5,22.6%,4,42.6%,12,7.1%,29,16.3%,28,23.4%
Cleveland,2,55.1%,7,52.9%,23,33.7%,27,14.5%,24,14.7%,27,29.2%,1,11.7%,8,25.4%,2,37.1%
Dallas,20,50.6%,28,50.6%,30,25.5%,19,16.9%,2,23.6%,6,40.5%,11,7.2%,4,26.9%,4,34.0%
Denver,5,53.2%,4,53.1%,3,40.2%,23,16.2%,25,13.5%,26,29.7%,25,6.1%,9,24.0%,9,30.1%
Detroit,26,49.6%,30,50.3%,28,30.1%,1,24.1%,8,21.4%,1,45.5%,29,5.2%,22,19.1%,27,24.3%
Golden State,1,57.2%,9,52.7%,14,36.0%,28,13.8%,19,16.6%,24,30.5%,9,7.5%,7,26.1%,6,33.6%
Houston,3,54.6%,1,54.4%,7,37.8%,30,11.8%,30,6.6%,30,18.4%,3,9.0%,1,34.8%,1,43.8%
Indiana,11,52.2%,27,50.7%,27,31.4%,4,20.5%,3,22.9%,3,43.4%,16,7.0%,26,18.2%,26,25.2%
LA Clippers,4,53.9%,16,51.9%,19,34.6%,29,12.6%,4,22.8%,18,35.4%,14,7.0%,11,23.0%,11,30.0%
LA Lakers,22,50.4%,14,52.0%,12,36.3%,5,20.5%,21,15.7%,14,36.2%,18,6.8%,17,20.8%,17,27.5%
Memphis,27,49.4%,15,52.0%,15,35.8%,13,18.6%,18,17.0%,17,35.6%,26,5.9%,12,22.8%,14,28.7%
Miami,15,51.6%,13,52.1%,17,35.1%,8,19.9%,20,15.9%,15,35.8%,2,9.2%,18,20.0%,13,29.2%
Milwaukee,7,53.1%,3,53.2%,1,42.7%,16,17.7%,26,13.4%,23,31.1%,6,8.0%,27,18.1%,22,26.2%
Minnesota,16,51.4%,22,51.5%,8,37.1%,14,18.5%,7,21.9%,7,40.4%,22,6.3%,30,16.2%,30,22.5%
New Orleans,19,50.6%,18,51.7%,20,34.5%,11,19.5%,17,18.1%,13,37.5%,20,6.7%,15,21.2%,15,28.0%
New York,25,49.8%,23,51.3%,21,34.4%,17,17.6%,6,22.5%,10,40.1%,23,6.2%,21,19.3%,25,25.5%
Oklahoma City,23,50.3%,6,52.9%,2,41.4%,22,16.4%,22,15.5%,22,31.8%,15,7.0%,19,19.8%,19,26.8%
Orlando,29,49.3%,24,51.2%,25,32.8%,2,20.8%,12,19.3%,8,40.1%,28,5.5%,13,21.6%,18,27.0%
Philadelphia,24,50.2%,8,52.8%,6,37.8%,21,16.8%,28,13.2%,25,30.0%,27,5.7%,5,26.5%,7,32.2%
Phoenix,28,49.4%,21,51.5%,9,36.5%,10,19.5%,10,20.6%,9,40.1%,21,6.7%,28,16.7%,29,23.4%
Portland,12,52.1%,12,52.2%,11,36.3%,24,15.9%,16,18.4%,19,34.3%,24,6.2%,10,23.2%,12,29.4%
Sacramento,14,51.9%,20,51.6%,18,34.9%,9,19.8%,13,18.9%,11,38.8%,19,6.7%,20,19.6%,21,26.3%
San Antonio,10,52.7%,29,50.6%,29,30.1%,6,20.3%,1,23.7%,2,44.0%,10,7.3%,25,18.6%,24,25.9%
Toronto,13,51.9%,25,51.1%,26,32.7%,3,20.5%,11,20.4%,5,41.0%,8,7.6%,24,18.8%,20,26.4%
Utah,8,52.9%,11,52.4%,10,36.3%,15,18.2%,23,15.4%,20,33.5%,4,8.8%,14,21.3%,10,30.1%
Washington,6,53.2%,17,51.8%,13,36.2%,18,17.0%,9,20.8%,12,37.8%,13,7.1%,23,18.9%,23,26.0%
