Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,50.4%,,50.8%,,36.1%,,18.7%,,21.7%,,40.5%,,6.2%,,17.3%,,23.5%
Atlanta,10,51.6%,8,51.1%,22,33.4%,10,19.8%,27,17.7%,23,37.5%,3,8.1%,3,20.9%,2,29.0%
Boston,29,47.7%,22,50.3%,19,34.1%,25,16.7%,5,26.3%,9,43.0%,17,5.9%,15,17.0%,17,22.9%
Brooklyn,9,51.7%,15,50.6%,24,32.9%,7,20.3%,22,19.8%,21,40.1%,10,6.9%,5,20.0%,5,26.9%
Charlotte,26,48.2%,25,50.1%,11,36.1%,18,18.3%,2,26.6%,4,44.9%,30,4.1%,27,14.9%,28,19.0%
Chicago,30,47.6%,16,50.6%,9,37.9%,27,16.0%,6,26.2%,12,42.2%,25,4.8%,24,15.2%,25,20.0%
Cleveland,25,48.3%,27,50.0%,21,33.8%,6,20.6%,10,24.3%,5,44.9%,18,5.9%,21,15.4%,22,21.3%
Dallas,4,52.8%,24,50.1%,27,32.0%,4,20.7%,16,22.3%,7,43.0%,21,5.3%,8,19.7%,13,25.0%
Denver,16,50.0%,5,51.7%,6,39.3%,22,17.7%,26,17.9%,27,35.6%,13,6.4%,11,18.7%,12,25.1%
Detroit,23,48.6%,4,51.9%,2,43.8%,15,18.9%,28,17.5%,26,36.4%,22,5.3%,28,14.5%,26,19.8%
Golden State,7,52.3%,14,50.7%,23,33.3%,5,20.6%,23,19.6%,19,40.3%,11,6.8%,9,19.6%,8,26.4%
Houston,3,53.3%,1,53.2%,3,43.6%,14,18.9%,30,8.3%,30,27.2%,8,7.3%,1,21.9%,1,29.2%
Indiana,19,49.2%,30,49.6%,25,32.5%,3,22.0%,7,24.6%,2,46.6%,20,5.6%,23,15.3%,24,20.8%
LA Clippers,5,52.6%,9,51.0%,17,34.7%,29,14.5%,8,24.6%,22,39.0%,2,8.1%,14,18.1%,9,26.3%
LA Lakers,13,50.6%,18,50.5%,26,32.3%,11,19.5%,20,21.4%,15,40.9%,12,6.8%,4,20.0%,6,26.8%
Memphis,18,49.6%,29,49.7%,10,36.9%,1,25.2%,13,22.5%,1,47.7%,26,4.6%,30,10.8%,30,15.4%
Miami,1,55.9%,3,52.1%,7,39.2%,28,15.1%,24,19.6%,28,34.6%,1,10.2%,19,16.1%,10,26.2%
Milwaukee,27,48.0%,11,50.9%,8,38.6%,21,18.1%,14,22.4%,17,40.5%,28,4.2%,16,16.8%,23,21.0%
Minnesota,20,49.0%,6,51.5%,5,40.8%,23,17.3%,21,20.1%,24,37.3%,23,5.1%,17,16.7%,19,21.9%
New Orleans,17,49.9%,10,51.0%,4,41.6%,12,19.4%,17,22.0%,14,41.4%,27,4.3%,29,12.7%,29,17.0%
New York,12,50.9%,17,50.6%,28,31.8%,30,13.2%,1,27.1%,20,40.2%,16,6.1%,2,21.9%,3,28.0%
Oklahoma City,8,52.2%,13,50.7%,15,34.8%,17,18.4%,18,21.9%,18,40.3%,15,6.1%,10,18.7%,14,24.8%
Orlando,21,48.9%,26,50.1%,20,34.0%,19,18.3%,4,26.3%,6,44.6%,14,6.3%,25,15.1%,21,21.4%
Philadelphia,28,47.8%,2,52.4%,1,44.0%,16,18.4%,29,14.2%,29,32.6%,24,4.9%,13,18.5%,16,23.4%
Phoenix,6,52.4%,7,51.3%,14,35.3%,20,18.1%,25,19.0%,25,37.1%,4,7.9%,6,19.8%,4,27.6%
Portland,14,50.5%,20,50.4%,29,31.7%,24,17.0%,9,24.5%,13,41.5%,9,7.1%,7,19.7%,7,26.8%
Sacramento,24,48.5%,28,49.8%,16,34.8%,2,23.4%,15,22.3%,3,45.7%,29,4.2%,22,15.3%,27,19.5%
San Antonio,2,53.9%,12,50.8%,12,35.7%,13,19.2%,19,21.4%,16,40.6%,5,7.4%,18,16.3%,15,23.7%
Toronto,15,50.1%,23,50.2%,30,31.4%,8,20.2%,12,22.6%,11,42.9%,7,7.3%,12,18.5%,11,25.8%
Utah,22,48.7%,21,50.4%,13,35.5%,9,20.0%,11,23.0%,8,43.0%,19,5.6%,20,15.9%,20,21.5%
Washington,11,50.9%,19,50.4%,18,34.6%,26,16.4%,3,26.6%,10,43.0%,6,7.3%,26,15.1%,18,22.4%
