Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,49.8%,,50.3%,,60.0%,,39.2%,,39.8%,,39.5%,,38.6%,,34.6%,,35.7%
Atlanta,3,53.0%,6,51.0%,14,60.6%,15,39.6%,2,43.8%,4,41.7%,2,42.9%,4,37.0%,2,38.7%
Boston,20,49.1%,18,50.1%,17,59.8%,16,39.3%,5,41.4%,9,40.6%,22,37.2%,29,32.1%,28,33.2%
Brooklyn,18,49.4%,23,49.5%,19,59.1%,2,43.8%,12,40.2%,3,42.2%,18,37.8%,27,32.3%,25,34.0%
Charlotte,30,45.9%,29,48.9%,30,55.1%,20,38.9%,21,39.2%,22,39.1%,11,39.0%,30,31.2%,30,32.7%
Chicago,22,49.1%,9,50.7%,27,56.0%,13,39.8%,22,39.2%,19,39.5%,8,39.4%,11,35.0%,10,36.0%
Cleveland,4,52.2%,3,51.2%,10,61.8%,23,37.2%,3,42.7%,16,39.8%,21,37.4%,3,37.2%,6,37.3%
Dallas,7,51.5%,14,50.4%,4,62.8%,12,39.9%,4,42.0%,6,41.1%,14,38.7%,14,34.4%,15,35.4%
Denver,24,48.4%,8,50.8%,21,59.0%,27,35.9%,20,39.3%,24,37.7%,30,34.4%,25,33.1%,27,33.4%
Detroit,25,48.3%,4,51.2%,25,56.9%,29,34.6%,23,39.1%,27,36.6%,16,38.4%,19,33.6%,20,34.8%
Golden State,1,54.6%,11,50.6%,2,65.1%,11,39.9%,10,40.5%,11,40.2%,1,45.4%,1,39.3%,1,40.7%
Houston,6,51.6%,1,52.5%,15,60.3%,10,40.0%,30,32.8%,25,37.6%,7,39.5%,20,33.4%,14,35.5%
Indiana,23,48.6%,27,49.1%,24,57.6%,14,39.7%,6,41.2%,10,40.6%,17,38.1%,12,35.0%,11,35.9%
LA Clippers,2,53.6%,21,50.0%,1,65.3%,4,42.2%,1,44.2%,1,43.5%,9,39.1%,2,37.3%,3,37.8%
LA Lakers,27,47.2%,26,49.2%,13,60.7%,24,37.1%,28,36.2%,28,36.6%,10,39.0%,21,33.4%,24,34.5%
Memphis,19,49.1%,24,49.4%,12,60.9%,8,40.7%,24,38.9%,15,39.8%,13,38.7%,22,33.3%,21,34.8%
Miami,11,50.3%,17,50.2%,11,61.5%,5,42.0%,15,40.0%,7,40.9%,19,37.6%,26,32.9%,23,34.5%
Milwaukee,13,50.1%,10,50.6%,23,58.6%,21,38.3%,9,40.6%,17,39.7%,6,39.8%,8,35.8%,7,37.2%
Minnesota,28,46.7%,28,49.0%,18,59.6%,26,36.5%,26,37.9%,26,37.3%,27,36.0%,24,33.2%,26,33.8%
New Orleans,12,50.3%,5,51.1%,26,56.5%,9,40.2%,17,39.9%,13,40.0%,4,41.0%,6,36.4%,4,37.6%
New York,26,47.3%,30,48.9%,28,55.9%,22,37.3%,8,40.7%,20,39.5%,28,35.4%,9,35.7%,12,35.7%
Oklahoma City,17,49.5%,13,50.5%,22,58.9%,7,40.8%,19,39.4%,14,40.0%,15,38.6%,23,33.2%,22,34.6%
Orlando,15,49.6%,16,50.3%,20,59.0%,17,39.3%,7,40.8%,12,40.1%,24,36.9%,13,34.6%,16,35.3%
Philadelphia,29,46.1%,2,51.8%,29,55.9%,30,30.9%,29,33.0%,30,31.9%,29,34.8%,28,32.3%,29,32.8%
Phoenix,10,50.6%,12,50.5%,8,62.2%,18,39.2%,14,40.1%,18,39.7%,26,36.2%,15,34.4%,19,35.0%
Portland,8,51.2%,22,49.9%,6,62.3%,6,41.5%,13,40.2%,8,40.8%,12,38.8%,7,35.9%,9,36.7%
Sacramento,21,49.1%,15,50.3%,16,60.3%,25,36.6%,11,40.3%,23,38.5%,25,36.9%,16,34.2%,17,35.1%
San Antonio,5,52.2%,19,50.0%,9,62.2%,1,44.5%,16,39.9%,2,42.5%,3,42.5%,10,35.1%,5,37.4%
Toronto,9,51.1%,20,50.0%,7,62.2%,3,43.7%,25,38.7%,5,41.3%,5,40.4%,18,33.7%,13,35.6%
Utah,16,49.6%,7,50.8%,5,62.7%,28,35.4%,27,36.8%,29,36.1%,20,37.4%,17,34.1%,18,35.0%
Washington,14,50.1%,25,49.3%,3,63.6%,19,39.0%,18,39.5%,21,39.3%,23,37.1%,5,36.6%,8,36.8%
