Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,52.4%,,52.7%,,34.5%,,18.8%,,15.6%,,34.4%,,7.0%,,24.1%,,31.1%
Atlanta,23,51.4%,13,53.1%,17,34.0%,26,16.4%,14,15.9%,20,32.3%,4,9.2%,14,24.5%,6,33.7%
Boston,16,52.1%,17,52.6%,24,32.6%,14,18.9%,16,15.5%,16,34.4%,11,7.6%,10,25.4%,8,33.0%
Brooklyn,18,51.6%,6,53.4%,19,33.2%,13,19.7%,29,9.0%,29,28.6%,7,8.4%,2,29.8%,2,38.1%
Charlotte,24,51.1%,23,52.2%,16,34.5%,11,19.8%,10,17.5%,7,37.3%,30,4.7%,16,23.5%,24,28.2%
Chicago,29,49.8%,20,52.4%,25,32.3%,15,18.6%,13,16.4%,11,35.0%,16,6.5%,6,26.1%,11,32.7%
Cleveland,3,54.8%,5,53.5%,10,35.0%,28,15.0%,18,15.1%,25,30.2%,3,9.6%,11,25.2%,4,34.8%
Dallas,19,51.5%,22,52.3%,30,29.9%,25,17.0%,9,17.5%,13,34.5%,17,6.5%,3,29.1%,3,35.5%
Denver,7,53.8%,8,53.2%,7,36.1%,6,20.9%,28,10.1%,24,31.0%,22,5.9%,4,27.0%,9,32.9%
Detroit,21,51.4%,21,52.3%,22,32.7%,5,21.4%,17,15.2%,9,36.6%,10,7.7%,18,23.1%,16,30.7%
Golden State,1,57.4%,25,52.1%,26,31.8%,23,17.4%,5,19.5%,8,36.9%,26,5.6%,8,25.8%,14,31.3%
Houston,2,55.6%,1,55.2%,12,35.0%,30,11.5%,30,6.8%,30,18.2%,1,11.3%,1,35.4%,1,46.7%
Indiana,10,52.8%,24,52.1%,13,34.9%,27,16.3%,1,22.7%,6,39.0%,19,6.1%,25,20.0%,27,26.2%
LA Clippers,11,52.7%,2,54.0%,1,41.3%,19,18.2%,27,11.5%,28,29.7%,13,6.8%,23,22.2%,22,29.0%
LA Lakers,15,52.1%,3,53.7%,2,39.7%,22,17.4%,25,12.6%,26,30.0%,27,5.4%,13,24.8%,18,30.3%
Memphis,28,50.4%,11,53.2%,4,37.9%,24,17.3%,15,15.8%,19,33.1%,20,6.0%,20,23.0%,21,29.0%
Miami,14,52.3%,10,53.2%,14,34.8%,16,18.4%,24,13.6%,22,31.9%,5,9.1%,15,24.2%,7,33.2%
Milwaukee,8,53.3%,12,53.1%,3,38.3%,21,17.5%,11,17.0%,14,34.5%,12,7.5%,27,19.8%,25,27.2%
Minnesota,13,52.6%,27,51.3%,20,33.2%,2,24.0%,7,19.0%,2,43.0%,24,5.8%,30,18.0%,30,23.8%
New Orleans,4,54.6%,15,52.9%,8,36.0%,9,20.1%,22,14.0%,17,34.1%,9,7.7%,24,22.1%,19,29.8%
New York,20,51.5%,28,51.3%,23,32.6%,4,21.5%,2,21.4%,3,42.8%,28,5.2%,29,19.4%,29,24.6%
Oklahoma City,17,51.8%,7,53.3%,6,36.9%,29,13.4%,8,18.5%,23,31.9%,8,8.0%,17,23.3%,15,31.3%
Orlando,22,51.4%,19,52.4%,21,33.0%,8,20.7%,19,14.6%,10,35.2%,18,6.3%,9,25.5%,13,31.7%
Philadelphia,6,54.1%,18,52.5%,18,33.4%,10,20.0%,20,14.4%,15,34.5%,29,5.1%,5,27.0%,12,32.1%
Phoenix,30,49.7%,14,53.0%,5,37.0%,12,19.8%,23,13.9%,18,33.7%,14,6.7%,21,22.6%,20,29.3%
Portland,25,51.1%,16,52.6%,15,34.6%,17,18.3%,12,16.6%,12,34.9%,25,5.6%,12,24.8%,17,30.5%
Sacramento,27,50.5%,30,50.9%,29,30.2%,1,24.1%,4,19.8%,1,43.9%,23,5.9%,26,20.0%,28,25.9%
San Antonio,26,50.8%,29,51.2%,27,31.2%,3,23.6%,6,19.0%,4,42.6%,15,6.6%,28,19.6%,26,26.2%
Toronto,5,54.1%,4,53.5%,9,35.4%,18,18.3%,26,11.5%,27,29.8%,6,9.0%,7,25.8%,5,34.8%
Utah,9,52.9%,9,53.2%,11,35.0%,20,17.9%,21,14.2%,21,32.1%,2,9.8%,19,23.0%,10,32.8%
Washington,12,52.6%,26,51.4%,28,30.7%,7,20.8%,3,19.9%,5,40.7%,21,6.0%,22,22.6%,23,28.5%
