Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,36.0,36.0,,0.0,,112.9,,54.1%,,13.8%,,25.1%,,19.2,,112.9,,54.1%,,13.8%,,25.1%,,19.2
Utah,52,20,1,+11.3,3,118.8,3,56.9%,19,14.2%,5,27.2%,8,20.0,1,107.5,1,50.8%,30,11.7%,2,22.7%,1,15.1
LA Clippers,47,25,2,+6.8,4,118.6,2,57.0%,13,13.5%,13,25.7%,14,19.1,9,111.8,9,53.6%,18,13.2%,6,23.6%,7,18.2
Phoenix,51,21,3,+6.2,6,117.7,4,56.8%,4,12.7%,24,23.6%,26,17.6,6,111.5,10,53.8%,15,14.0%,9,24.6%,17,19.4
Brooklyn,48,24,4,+5.7,1,119.4,1,58.1%,9,13.3%,25,23.5%,5,21.0,21,113.7,8,53.4%,27,12.6%,24,26.2%,11,18.7
Milwaukee,46,26,5,+5.5,7,117.5,5,56.7%,12,13.4%,12,25.7%,23,17.8,10,112.1,16,54.2%,23,12.8%,3,23.0%,2,15.2
Denver,47,25,6,+5.5,5,118.0,6,56.3%,16,13.7%,2,28.4%,28,17.5,11,112.5,21,54.8%,8,14.6%,7,24.0%,19,19.6
Philadelphia,49,23,7,+5.4,13,113.7,15,54.3%,20,14.4%,8,26.6%,1,22.8,3,108.2,3,52.6%,3,15.3%,11,24.8%,14,19.3
LA Lakers,42,30,8,+2.8,23,110.9,18,54.0%,28,15.3%,15,25.5%,9,19.9,2,108.1,5,53.1%,4,15.3%,5,23.4%,10,18.6
Portland,42,30,9,+2.4,2,119.1,12,54.6%,1,11.2%,9,26.3%,11,19.7,29,116.7,24,55.2%,25,12.8%,21,25.5%,21,19.8
Dallas,42,30,10,+2.3,8,116.2,7,55.6%,3,12.3%,22,23.8%,17,18.9,22,113.8,11,53.8%,24,12.8%,19,25.2%,21,19.8
New York,41,31,11,+2.3,24,110.7,24,52.6%,14,13.5%,16,25.3%,19,18.6,4,108.4,2,51.1%,20,13.2%,12,24.9%,15,19.4
Atlanta,41,31,12,+2.3,9,115.5,16,54.2%,10,13.3%,7,26.8%,2,22.6,17,113.2,6,53.3%,29,12.5%,10,24.7%,13,19.0
Boston,36,36,13,+1.6,10,114.2,13,54.5%,17,14.0%,6,27.1%,21,18.1,12,112.6,18,54.3%,13,14.3%,16,25.1%,27,21.4
Memphis,38,34,14,+0.6,16,112.3,22,52.8%,5,13.1%,4,27.4%,27,17.6,7,111.6,12,53.9%,7,14.6%,14,24.9%,16,19.4
Golden State,39,33,15,+0.4,21,111.1,10,55.0%,24,14.7%,30,20.8%,15,19.1,5,110.7,4,52.6%,9,14.6%,22,25.8%,29,22.9
Miami,40,32,16,+0.1,19,111.8,11,54.7%,21,14.4%,29,22.3%,7,20.2,8,111.7,19,54.5%,2,15.7%,18,25.2%,8,18.4
Indiana,34,38,17,-0.4,14,112.5,14,54.4%,7,13.1%,26,23.1%,24,17.8,14,112.9,7,53.4%,10,14.4%,30,28.5%,24,20.2
New Orleans,31,41,18,-0.7,12,114.0,17,54.0%,22,14.4%,1,28.6%,4,21.6,23,114.7,25,55.5%,21,13.1%,4,23.1%,12,18.9
